"Name of the payment to print on the invoice (leave this field empty to use the name of the selected payment method).","Naam van de betaalmodule op de factuur (indien dit veld wordt leeggelaten, wordt de naam van de gekozen betaalmethode gebruikt)."
"Order import active","Order import actief"
"Shipment export active","Shipment export actief"
"Catalog export active","Catalog export actief"
"Offer export active","Offer export actief"
"This process imports orders from EffectConnect Marketplaces.","Dit proces importeert orders uit EffectConnect Marketplaces."
"This process exports shipments and tracking codes to EffectConnect Marketplaces.","Dit proces exporteert verzendingen en tracking codes naar EffectConnect Marketplaces."
"This process exports the full catalog to EffectConnect Marketplaces.","Dit proces exporteert de volledige productcatalogus naar EffectConnect Marketplaces."
"This process exports price and stock changes to EffectConnect Marketplaces.","Dit proces exporteert prijs- en voorraadupdates naar EffectConnect Marketplaces."
"This setting only determines which connections are included in the cron process. Regardless of this setting, the process will only be executed if a crontab for this process (see documentation) is setup.","Deze instelling dient enkel om per connectie te kunnen bepalen of het process meegenomen moet worden in het algemene cron proces. Ongeacht deze instelling, zal het proces alleen uitgevoerd worden indien er ook een cron is ingesteld (zie documentatie)."
